Datum ;Zeit ;AT [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
10.01.2016;00:02:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;47,8;8,0;0,00;0,00;0;0;53,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:03:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,4;8,0;60,0;0;47,5;8,0;0,00;0,00;0;0;52,7;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:04:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,4;8,0;60,0;0;47,1;8,0;0,00;0,00;0;0;52,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:05:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,4;8,0;60,0;0;46,9;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:06:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,4;8,0;60,0;0;46,6;8,0;0,00;0,00;0;0;52,7;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:07:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,4;8,0;60,0;0;46,4;8,0;0,00;0,00;0;0;52,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:08:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,4;8,0;60,0;0;46,1;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:09:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;45,8;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:10:05;-20,0;0;0,0;8,0;20,2;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;45,6;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:11:05;-20,0;0;0,0;8,0;20,1;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;45,3;8,0;0,00;0,00;0;0;52,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:12:05;-20,0;0;0,0;8,0;20,1;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;45,2;8,0;0,00;0,00;0;0;52,4;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:13:05;-20,0;0;0,0;8,0;20,1;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;44,9;8,0;0,00;0,00;0;0;52,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:14:05;-20,0;0;0,0;8,0;20,1;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;44,7;8,0;0,00;0,00;0;0;52,4;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,3;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:15:05;-20,0;0;0,0;8,0;20,1;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;44,5;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:16:05;-20,0;0;0,0;8,0;20,1;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;44,3;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:17:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;44,1;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:18:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;43,9;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:19:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;43,7;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:20:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;43,6;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:21:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;43,4;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:22:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;43,2;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:23:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;43,0;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:24:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;42,9;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:25:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,7;25,7;25,0;0;34,5;8,0;60,0;0;42,7;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,7;0;0;0;175;0;0;0;0;0;
10.01.2016;00:26:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;42,6;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:27:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;42,4;8,0;0,00;0,00;0;0;51,9;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:28:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;42,3;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:29:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;42,1;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:30:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;42,0;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:31:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;41,8;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:32:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;41,7;8,0;0,00;0,00;0;0;51,7;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:33:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;41,6;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:34:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;41,5;8,0;0,00;0,00;0;0;51,8;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:35:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;41,4;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:36:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,5;8,0;60,0;0;41,3;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:37:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,4;8,0;60,0;0;41,2;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:38:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,4;8,0;60,0;0;41,0;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:39:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,4;8,0;60,0;0;40,9;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:40:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,6;25,6;25,0;0;34,4;8,0;60,0;0;40,8;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,6;0;0;0;175;0;0;0;0;0;
10.01.2016;00:41:05;-20,0;0;0,0;8,0;20,0;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,6;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,2;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:42:05;-20,0;0;0,0;8,0;19,9;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,6;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:43:05;-20,0;0;0,0;8,0;19,9;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,5;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:44:05;-20,0;0;0,0;8,0;19,8;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,4;8,0;0,00;0,00;0;0;51,9;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:45:05;-20,0;0;0,0;8,0;19,8;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,3;8,0;0,00;0,00;0;0;51,8;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:46:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,3;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:47:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,4;8,0;60,0;0;40,2;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:48:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;40,0;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:49:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,9;8,0;0,00;0,00;0;0;51,9;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:50:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,9;8,0;0,00;0,00;0;0;51,7;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:51:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,9;8,0;0,00;0,00;0;0;51,7;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:52:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,8;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:53:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,7;8,0;0,00;0,00;0;0;51,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:54:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,6;8,0;0,00;0,00;0;0;51,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:55:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,6;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:56:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,4;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:57:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,5;25,5;25,0;0;34,3;8,0;60,0;0;39,4;8,0;0,00;0,00;0;0;51,8;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,5;0;0;0;175;0;0;0;0;0;
10.01.2016;00:58:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;39,3;8,0;0,00;0,00;0;0;51,8;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;00:59:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;39,2;8,0;0,00;0,00;0;0;51,7;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:00:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;39,1;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:01:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;39,0;8,0;0,00;0,00;0;0;51,4;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:02:05;-20,0;0;0,0;8,0;19,7;8,0;1;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;38,9;8,0;0,00;0,00;0;0;51,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:03:05;-20,0;0;0,0;8,0;19,7;8,0;1;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;38,9;8,0;0,00;0,00;0;0;51,4;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:04:05;-20,0;0;0,0;8,0;19,7;8,0;1;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;38,8;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:05:05;-20,0;0;0,0;8,0;19,7;8,0;1;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;38,7;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:06:05;-20,0;0;0,0;8,0;19,7;8,0;1;0;25,4;25,4;25,0;0;34,2;8,0;60,0;0;38,6;8,0;0,00;0,00;0;0;51,6;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:07:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,5;8,0;0,00;0,00;0;0;51,8;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:08:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,5;8,0;0,00;0,00;0;0;51,9;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:09:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,4;8,0;0,00;0,00;0;0;51,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:10:05;-20,0;0;0,0;8,0;19,7;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,3;8,0;0,00;0,00;0;0;51,4;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,0;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:11:05;-20,0;0;0,0;8,0;19,6;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,2;8,0;0,00;0,00;0;0;51,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,0;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:12:05;-20,0;0;0,0;8,0;19,6;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,1;8,0;0,00;0,00;0;0;51,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,0;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:13:05;-20,0;0;0,0;8,0;19,6;8,0;0;0;25,4;25,4;25,0;0;34,1;8,0;60,0;0;38,0;8,0;0,00;0,00;0;0;51,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,0;25,4;0;0;0;175;0;0;0;0;0;
10.01.2016;01:14:05;-20,0;0;0,0;8,0;19,5;8,0;0;0;25,3;25,3;25,0;0;34,1;8,0;60,0;0;38,0;8,0;0,00;0,00;0;0;51,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,3;0;0;0;175;0;0;0;0;0;
10.01.2016;01:15:05;-20,0;0;0,0;8,0;19,5;8,0;0;0;25,3;25,3;25,0;0;34,1;8,0;60,0;0;37,9;8,0;0,00;0,00;0;0;51,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,1;25,3;0;0;0;175;0;0;0;0;0;
10.01.2016;01:16:05;-20,0;0;0,0;8,0;19,5;8,0;0;0;25,3;25,3;25,0;0;34,0;8,0;60,0;0;37,9;8,0;0,00;0,00;0;0;51,4;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,0;25,3;0;0;0;175;0;0;0;0;0;
10.01.2016;01:17:05;-20,0;0;0,0;8,0;19,5;8,0;0;0;25,3;25,3;25,0;0;34,0;8,0;60,0;0;37,8;8,0;0,00;0,00;0;0;51,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;56,0;25,3;0;0;0;175;0;0;0;0;0;
