Datum ;Zeit ;AT [°C];PE1_BR1 ;HK1 VL Ist[°C];HK1 VL Soll[°C];HK1 RT Ist[°C];HK1 RT Soll[°C];HK1 Pumpe;HK1 Mischer;WW1 EinT Ist[°C];WW1 AusT Ist[°C];WW1 Soll[°C];WW1 Pumpe;PE1 KT[°C];PE1 KT_SOLL[°C];PE1 UW Freigabe[°C];PE1 Modulation[%];PE1 FRT Ist[°C];PE1 FRT Soll[°C];PE1 Einschublaufzeit[zs];PE1 Pausenzeit[zs];PE1 Luefterdrehzahl[%];PE1 Saugzugdrehzahl[%];PE1 Unterdruck Ist[EH];PE1 Unterdruck Soll[EH];PE1 Status;PE1 Motor ES;PE1 Motor RA;PE1 Motor RES1;PE1 Motor TURBINE;PE1 Motor ZUEND;PE1 Motor UW[%];PE1 Motor AV;PE1 Motor RES2;PE1 Motor MA;PE1 Motor RM;PE1 Motor SM;PE1 Res1 Temp.[°C];PE1 Res2 Temp.[°C];PE1 CAP RA;PE1 CAP ZB;PE1 AK;PE1 Saug-Int[min];PE1 DigIn1;PE1 DigIn2;Fehler1 ;Fehler2 ;Fehler3 ;
06.02.2016;00:02:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;28,0;28,0;25,0;0;33,6;8,0;60,0;0;36,1;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;28,0;0;0;0;175;0;0;0;0;0;
06.02.2016;00:03:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;28,0;28,0;25,0;0;33,6;8,0;60,0;0;36,0;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;28,0;0;0;0;175;0;0;0;0;0;
06.02.2016;00:04:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,6;8,0;60,0;0;36,1;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
06.02.2016;00:05:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,6;8,0;60,0;0;36,1;8,0;0,00;0,00;0;0;52,2;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;28,0;0;0;0;175;0;0;0;0;0;
06.02.2016;00:06:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,6;8,0;60,0;0;36,0;8,0;0,00;0,00;0;0;52,3;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
06.02.2016;00:07:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,5;8,0;60,0;0;36,0;8,0;0,00;0,00;0;0;52,0;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
06.02.2016;00:08:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,5;8,0;60,0;0;36,0;8,0;0,00;0,00;0;0;52,1;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
06.02.2016;00:09:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,5;8,0;60,0;0;35,9;8,0;0,00;0,00;0;0;51,9;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
06.02.2016;00:10:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,5;8,0;60,0;0;35,9;8,0;0,00;0,00;0;0;51,9;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
06.02.2016;00:11:21;-20,0;0;0,0;8,0;18,7;8,0;0;0;27,9;27,9;25,0;0;33,5;8,0;60,0;0;35,9;8,0;0,00;0,00;0;0;51,5;80,0;99;0;0;0;0;0;0;0;0;0;0;0;55,7;27,9;0;0;0;175;0;0;0;0;0;
